,Id,Calories,hour,hour_cat
989,1624580081,51,8,3
990,1624580081,63,9,3
991,1624580081,80,10,3
992,1624580081,50,11,3
993,1624580081,58,12,4
994,1624580081,52,13,4
995,1624580081,64,14,4
996,1624580081,52,15,4
997,1624580081,77,16,5
998,1624580081,53,17,5
999,1624580081,60,18,5
1000,1624580081,95,19,5
1001,1624580081,128,20,6
1002,1624580081,121,21,6
1003,1624580081,81,22,6
1004,1624580081,53,23,6
1005,1624580081,64,0,1
1006,1624580081,59,1,1
1007,1624580081,50,2,1
1008,1624580081,50,3,1
1009,1624580081,50,4,2
1010,1624580081,51,5,2
1011,1624580081,52,6,2
1012,1624580081,50,7,2
1013,1624580081,54,8,3
1014,1624580081,60,9,3
1015,1624580081,89,10,3
1016,1624580081,70,11,3
1017,1624580081,106,12,4
1018,1624580081,114,13,4
1019,1624580081,70,14,4
1020,1624580081,50,15,4
1021,1624580081,54,16,5
1022,1624580081,61,17,5
1023,1624580081,145,18,5
1024,1624580081,82,19,5
1025,1624580081,77,20,6
1026,1624580081,53,21,6
1027,1624580081,57,22,6
1028,1624580081,50,23,6
1029,1624580081,50,0,1
1030,1624580081,54,1,1
1031,1624580081,50,2,1
1032,1624580081,50,3,1
1033,1624580081,50,4,2
1034,1624580081,50,5,2
1035,1624580081,50,6,2
1036,1624580081,50,7,2
1037,1624580081,64,8,3
1038,1624580081,62,9,3
1039,1624580081,99,10,3
1040,1624580081,102,11,3
1041,1624580081,77,12,4
1042,1624580081,61,13,4
1043,1624580081,54,14,4
1044,1624580081,54,15,4
1045,1624580081,60,16,5
1046,1624580081,86,17,5
1047,1624580081,72,18,5
1048,1624580081,71,19,5
1049,1624580081,51,20,6
1050,1624580081,53,21,6
1051,1624580081,61,22,6
1052,1624580081,62,23,6
1053,1624580081,55,0,1
1054,1624580081,51,1,1
1055,1624580081,50,2,1
1056,1624580081,50,3,1
1057,1624580081,50,4,2
1058,1624580081,50,5,2
1059,1624580081,51,6,2
1060,1624580081,50,7,2
1061,1624580081,51,8,3
1062,1624580081,79,9,3
1063,1624580081,70,10,3
1064,1624580081,60,11,3
1065,1624580081,62,12,4
